1,A,Arms
2,AB,Assisting out of Bounds
3,AP,Assisting out of Play
4,AS,Above Shoulders
5,B,Back block
6,BB,Blocking out of Bounds
7,BP,Blocking out of Play
8,D,Delay of game
9,DB,Directional Block
10,F,Fighting
11,FR,Failure to Reform
12,IB,Illegal Block
13,IP,Illegal Procedure
14,IS,Insubordination
15,L,Low block
16,MB,Multiplayer Block
17,OP,skating Out of Play
18,S,Stopping
19,SB,Skating out of Bounds
20,UC,Unsporting Conduct
21,X,Cutting
